true_label,pred_label,top1_confidence,margin,entropy,is_correct,is_low_confidence
1,1,0.9999365,0.9998744,0.0006838245,True,False
6,6,0.9999997,0.9999996,4.5756883e-06,True,False
4,4,0.9999824,0.999965,0.00021065529,True,False
6,6,0.9999996,0.99999934,6.5702493e-06,True,False
0,0,0.9999992,0.99999845,1.25305205e-05,True,False
3,3,0.9999984,0.99999696,2.3426654e-05,True,False
7,7,0.9999973,0.9999957,3.8643702e-05,True,False
5,5,0.99999565,0.9999934,6.1007697e-05,True,False
8,8,0.9999744,0.9999501,0.00030034012,True,False
1,1,0.999952,0.99990463,0.0005281409,True,False
3,3,0.9999996,0.9999993,7.0845617e-06,True,False
9,9,0.9999997,0.9999996,3.6423326e-06,True,False
6,6,0.999996,0.9999943,5.9744427e-05,True,False
2,2,0.99993724,0.99990684,0.0007345544,True,False
10,10,0.99999744,0.99999505,3.5595633e-05,True,False
10,10,0.9999997,0.9999996,3.529145e-06,True,False
3,3,0.9999942,0.9999918,8.377607e-05,True,False
7,7,0.99995,0.99990016,0.00054631516,True,False
3,3,0.9999986,0.9999973,1.9726074e-05,True,False
9,9,0.84293455,0.6866438,0.43985048,True,True
5,5,0.99930936,0.99867684,0.0059491824,True,False
3,3,0.9999998,0.99999976,1.858794e-06,True,False
6,6,0.9999996,0.9999993,6.8015734e-06,True,False
1,1,0.7887025,0.5774073,0.5157034,True,True
8,8,0.99989873,0.999799,0.0010420594,True,False
8,8,0.9993101,0.9986202,0.0057113236,True,False
10,10,0.9999985,0.9999972,2.1641616e-05,True,False
8,8,0.9999998,0.99999976,2.379719e-06,True,False
4,4,0.9999972,0.99999535,3.9020713e-05,True,False
1,1,0.99994475,0.9998916,0.00060666277,True,False
7,7,0.9999998,0.9999997,1.9091538e-06,True,False
3,3,0.99998695,0.99997526,0.00016568188,True,False
10,10,0.99999946,0.99999934,8.334996e-06,True,False
7,7,0.9999996,0.9999993,6.7952187e-06,True,False
1,1,0.99999756,0.99999535,3.3423166e-05,True,False
6,6,0.9999998,0.9999997,2.231237e-06,True,False
0,0,0.9999946,0.99998933,7.106775e-05,True,False
2,2,0.99997705,0.99995726,0.0002793512,True,False
9,9,0.99997455,0.9999541,0.0003107474,True,False
9,9,0.99999696,0.9999947,4.2128013e-05,True,False
5,5,0.99998206,0.9999644,0.00021432985,True,False
5,5,0.9999959,0.9999939,5.8486014e-05,True,False
4,4,0.999994,0.99998885,8.210789e-05,True,False
10,10,0.99999946,0.99999905,7.714161e-06,True,False
3,3,0.9999998,0.9999997,2.9320538e-06,True,False
6,6,0.99999994,0.9999999,8.712464e-07,True,False
2,2,0.9999848,0.9999696,0.00018413123,True,False
5,5,0.9999575,0.999928,0.0004971691,True,False
3,3,0.99999696,0.9999951,4.3667238e-05,True,False
0,0,0.99980617,0.9996124,0.0018517338,True,False
9,9,0.99949354,0.9989885,0.0043600374,True,False
10,10,0.9999998,0.99999976,1.671265e-06,True,False
9,9,0.99999744,0.999995,3.5380144e-05,True,False
9,9,0.9999998,0.99999976,2.2508539e-06,True,False
9,9,0.999994,0.99999094,8.289297e-05,True,False
2,2,0.9999673,0.99993753,0.0003814906,True,False
4,4,0.99999696,0.99999493,4.3066877e-05,True,False
4,4,0.99999875,0.9999981,1.944199e-05,True,False
8,8,0.9999992,0.9999985,1.137887e-05,True,False
5,5,0.999988,0.9999764,0.00014919072,True,False
3,3,0.99999875,0.99999785,1.8645082e-05,True,False
8,8,0.99859285,0.9972156,0.010794189,True,False
6,6,0.9999997,0.9999996,3.504017e-06,True,False
7,7,0.99999815,0.9999965,2.6828426e-05,True,False
5,5,0.99998015,0.99996495,0.00024559017,True,False
7,7,0.9998524,0.9997071,0.0014610391,True,False
5,5,0.9999375,0.9998771,0.0006765964,True,False
0,0,0.9982829,0.9965789,0.0127281835,True,False
9,9,0.99999994,0.9999999,1.6097883e-06,True,False
1,1,0.99973774,0.9994951,0.0025034363,True,False
0,0,0.9999997,0.9999995,4.385107e-06,True,False
2,2,0.90656936,0.81314105,0.31043205,True,False
7,7,0.9999977,0.999996,3.3794404e-05,True,False
7,7,0.99999887,0.9999983,1.7504193e-05,True,False
3,3,0.9999998,0.99999976,1.5688001e-06,True,False
9,9,0.9999364,0.9998737,0.0006836554,True,False
7,7,0.9999632,0.9999265,0.00041232668,True,False
3,3,0.9999799,0.99996656,0.0002529451,True,False
3,3,0.99999934,0.9999991,9.511314e-06,True,False
5,5,0.9998193,0.99966085,0.001805416,True,False
7,7,0.99998397,0.99996805,0.00019260687,True,False
4,4,0.99999815,0.9999969,2.708216e-05,True,False
7,7,0.9999947,0.9999918,7.35314e-05,True,False
6,6,0.999999,0.9999984,1.5923177e-05,True,False
4,4,0.9576448,0.91529024,0.17536514,True,False
5,5,0.99695355,0.9941762,0.021619495,True,False
8,8,0.9999985,0.9999973,2.2008637e-05,True,False
0,0,0.9999742,0.9999484,0.00029877303,True,False
1,1,0.99980736,0.99962014,0.001873451,True,False
9,9,0.99988765,0.9997768,0.0011413936,True,False
9,9,0.9999623,0.9999328,0.00044310378,True,False
10,10,0.99999994,0.99999994,5.15392e-07,True,False
3,3,0.99999875,0.9999981,1.9577863e-05,True,False
4,4,0.999994,0.99998826,7.8257326e-05,True,False
2,2,0.9988564,0.9977977,0.009222616,True,False
1,1,0.97893757,0.95787686,0.102167964,True,False
4,4,0.99999565,0.99999255,5.997082e-05,True,False
2,2,0.999634,0.99926805,0.0032626686,True,False
1,1,0.9998973,0.99979866,0.0010654639,True,False
4,4,0.99999696,0.9999947,4.221838e-05,True,False
10,10,0.99999946,0.9999992,7.4164564e-06,True,False
6,6,0.99999934,0.99999905,1.00156585e-05,True,False
7,7,0.9999781,0.9999566,0.00025744582,True,False
1,1,0.999748,0.99949676,0.0023467166,True,False
10,10,0.99999994,0.99999994,3.489102e-07,True,False
0,0,0.99999815,0.99999636,2.6212903e-05,True,False
10,10,0.9999997,0.9999996,4.8172774e-06,True,False
10,10,0.9999998,0.99999976,1.9512752e-06,True,False
6,6,0.9999953,0.99999344,6.676033e-05,True,False
7,7,0.9999687,0.99993855,0.00036022547,True,False
7,7,0.99997085,0.999945,0.00034348606,True,False
10,10,0.99999887,0.9999983,1.6749364e-05,True,False
4,4,0.9999946,0.99999076,7.546303e-05,True,False
0,0,0.99999946,0.999999,8.304319e-06,True,False
7,7,0.99998695,0.9999781,0.00016770633,True,False
7,7,0.9999992,0.9999988,1.285661e-05,True,False
0,0,0.99995214,0.9999044,0.000523409,True,False
7,7,0.9999905,0.9999823,0.00012195272,True,False
6,6,0.9999992,0.99999887,1.1913862e-05,True,False
7,7,0.99999434,0.99999136,8.036114e-05,True,False
4,4,0.9999935,0.9999904,8.9584755e-05,True,False
8,8,0.99999887,0.999998,1.6520498e-05,True,False
7,7,0.9999731,0.99994653,0.00031101654,True,False
3,3,0.99998266,0.99996567,0.00020864783,True,False
10,10,0.99999946,0.9999992,7.9443325e-06,True,False
3,3,0.99999887,0.9999981,1.5211282e-05,True,False
5,5,0.99999577,0.9999927,5.8953163e-05,True,False
9,9,0.999216,0.9984324,0.0063949865,True,False
3,3,0.9999997,0.99999946,4.967491e-06,True,False
1,1,0.9999971,0.9999957,4.3030974e-05,True,False
1,1,0.9998962,0.99981314,0.0011100015,True,False
6,6,0.9999996,0.99999934,7.0875462e-06,True,False
1,1,0.99757504,0.9951531,0.01705121,True,False
0,0,0.9999991,0.99999845,1.4162318e-05,True,False
3,3,0.9999996,0.99999934,6.3451375e-06,True,False
7,7,0.99999017,0.9999817,0.0001272373,True,False
6,6,0.99982786,0.9996623,0.0016986107,True,False
0,0,0.99997836,0.99995697,0.00025365397,True,False
1,1,0.9999986,0.9999976,1.9389594e-05,True,False
5,5,0.99992937,0.99986315,0.0007633911,True,False
6,6,0.99999946,0.9999992,7.803661e-06,True,False
1,1,0.9894407,0.9788841,0.058584873,True,False
7,7,0.9999996,0.9999993,6.624384e-06,True,False
7,7,0.9999724,0.99995023,0.00033165578,True,False
3,3,0.9999996,0.9999993,6.099033e-06,True,False
10,10,0.9999998,0.99999976,2.226411e-06,True,False
4,4,0.9977153,0.9954861,0.016491357,True,False
9,9,0.9999996,0.9999992,6.0788384e-06,True,False
10,10,0.99999994,0.99999994,3.164765e-07,True,False
10,10,0.9999991,0.99999857,1.2538852e-05,True,False
6,6,0.99999994,0.99999994,4.3971892e-07,True,False
1,1,0.9999984,0.99999744,2.4063507e-05,True,False
6,6,0.9999996,0.9999994,6.8656395e-06,True,False
10,10,0.99999946,0.99999905,8.670058e-06,True,False
2,2,0.99999875,0.99999774,1.8189585e-05,True,False
7,7,0.998024,0.9960483,0.014282084,True,False
5,5,0.99998385,0.9999739,0.00020485332,True,False
4,4,0.99999744,0.99999547,3.584751e-05,True,False
6,6,0.9999996,0.9999994,6.4779315e-06,True,False
0,0,0.99999946,0.99999917,7.735251e-06,True,False
1,1,0.9993121,0.9986368,0.0057671387,True,False
9,9,0.9999686,0.99993765,0.00036036703,True,False
1,1,0.99897027,0.9979428,0.00813271,True,False
0,0,0.9999921,0.9999845,0.00010273134,True,False
8,8,0.99859345,0.9974075,0.01148113,True,False
2,2,0.9996642,0.99932945,0.003030085,True,False
5,5,0.99670166,0.99343187,0.022321628,True,False
1,1,0.99997884,0.99995923,0.00025431506,True,False
0,0,0.99828565,0.99657476,0.01265846,True,False
8,8,0.9999996,0.9999993,5.8071014e-06,True,False
10,10,0.99999994,0.99999994,2.2362582e-07,True,False
5,5,0.99980617,0.9996847,0.001979381,True,False
5,5,0.99972355,0.99946433,0.0026084317,True,False
4,4,0.99995536,0.99991643,0.0005154144,True,False
6,6,0.99999934,0.9999988,8.781931e-06,True,False
4,4,0.99992317,0.99984795,0.00081247726,True,False
3,3,0.9999992,0.9999986,1.3064316e-05,True,False
9,9,0.99998933,0.99997914,0.00013348564,True,False
3,3,0.9999979,0.999996,2.9712424e-05,True,False
4,4,0.9999481,0.9998987,0.000575458,True,False
4,4,0.9999972,0.9999946,3.845542e-05,True,False
0,0,0.9999917,0.9999876,0.000113246955,True,False
3,3,0.99985075,0.9997086,0.0015052184,True,False
6,6,0.9999997,0.9999995,3.7492687e-06,True,False
7,7,0.99999803,0.9999969,2.7440594e-05,True,False
10,10,0.99999946,0.9999993,6.9445896e-06,True,False
8,8,0.99999934,0.999999,1.1193044e-05,True,False
2,4,0.67904377,0.35811058,0.6278459,False,True
5,5,0.9999948,0.99999,6.79859e-05,True,False
2,2,0.9999885,0.9999771,0.00014430075,True,False
1,1,0.9999618,0.9999282,0.00044388036,True,False
5,5,0.99942005,0.9988626,0.00501873,True,False
9,9,0.9999992,0.99999857,1.073103e-05,True,False
0,0,0.9999991,0.9999984,1.2468964e-05,True,False
4,4,0.99924433,0.99848926,0.0061938674,True,False
6,6,0.99999803,0.9999966,2.8199413e-05,True,False
0,0,0.9999996,0.9999994,5.9223844e-06,True,False
0,0,0.99999994,0.99999994,5.7236855e-07,True,False
2,2,0.99999315,0.9999864,8.966214e-05,True,False
4,4,0.99999946,0.9999991,7.60283e-06,True,False
5,5,0.9999346,0.99987715,0.0007227366,True,False
6,6,0.9999997,0.9999996,5.0904696e-06,True,False
1,1,0.99999934,0.99999905,9.361075e-06,True,False
0,0,0.99995595,0.99991506,0.00049976294,True,False
3,3,0.9999997,0.99999964,3.4558072e-06,True,False
3,3,0.999993,0.99998754,9.241931e-05,True,False
2,2,0.99998945,0.999979,0.00013255655,True,False
6,6,0.9999998,0.99999976,1.3952707e-06,True,False
10,10,0.9999991,0.9999987,1.3624999e-05,True,False
4,4,0.99999243,0.9999887,0.00010140249,True,False
10,10,0.9999997,0.9999996,3.225432e-06,True,False
7,7,0.9998941,0.99978846,0.0010779302,True,False
3,3,0.9999984,0.9999977,2.2705171e-05,True,False
6,6,0.99999684,0.9999943,4.4511333e-05,True,False
7,7,0.9998224,0.99965036,0.0017401862,True,False
2,2,0.9999997,0.9999995,3.7066502e-06,True,False
2,2,0.99992484,0.99985,0.0007895076,True,False
5,5,0.9995875,0.9991788,0.0036504876,True,False
5,5,0.9927595,0.985524,0.04293703,True,False
3,3,0.9999997,0.99999946,5.3637923e-06,True,False
1,1,0.99999744,0.9999951,3.5455105e-05,True,False
6,6,0.9999997,0.9999996,4.094811e-06,True,False
9,9,0.9999991,0.9999984,1.27788935e-05,True,False
3,3,0.9999396,0.9998852,0.00066724996,True,False
4,4,0.99999136,0.9999851,0.000114705595,True,False
5,5,0.9986769,0.99749833,0.01055409,True,False
1,1,0.99998266,0.9999676,0.00021443165,True,False
6,6,0.9999996,0.9999993,6.1634732e-06,True,False
8,8,0.99999934,0.9999991,8.578088e-06,True,False
9,9,0.99997634,0.9999534,0.00027939474,True,False
2,2,0.99999994,0.9999999,1.3618121e-06,True,False
2,2,0.99996156,0.9999404,0.00046430333,True,False
5,5,0.9594825,0.9190743,0.17039095,True,False
8,8,0.9999916,0.99998343,0.000107553795,True,False
7,7,0.99999267,0.99998546,9.367701e-05,True,False
4,4,0.99999636,0.9999945,5.1748488e-05,True,False
4,4,0.9999971,0.99999475,4.1261002e-05,True,False
7,7,0.9999998,0.99999976,2.3371585e-06,True,False
0,0,0.9999998,0.99999964,3.5018309e-06,True,False
8,8,0.99997264,0.99994606,0.00031834087,True,False
3,3,0.99999875,0.9999978,1.9445926e-05,True,False
8,8,0.9999904,0.999981,0.00012025299,True,False
8,8,0.9999997,0.9999995,4.4235776e-06,True,False
1,1,0.99999493,0.99999154,6.9963084e-05,True,False
0,0,0.9999998,0.99999976,1.8588036e-06,True,False
3,3,0.99999243,0.99998623,0.00010150747,True,False
10,10,0.9999996,0.99999934,7.1143468e-06,True,False
9,9,0.9999991,0.9999986,1.4671918e-05,True,False
6,6,0.9999996,0.99999934,6.7547085e-06,True,False
6,6,0.9999998,0.99999976,3.0785632e-06,True,False
7,7,0.9999991,0.99999833,1.228392e-05,True,False
6,6,0.9999998,0.99999976,1.5507594e-06,True,False
8,8,0.99998885,0.99997795,0.00013824871,True,False
1,1,0.99976397,0.99952984,0.0022175838,True,False
3,3,0.99994475,0.99988985,0.0005998516,True,False
7,7,0.9999854,0.9999745,0.00018542414,True,False
8,8,0.9998912,0.99978304,0.0011046128,True,False
10,10,0.9999996,0.9999993,7.5962303e-06,True,False
1,1,0.99968445,0.99937123,0.0028749832,True,False
7,7,0.9999992,0.9999986,1.2022786e-05,True,False
10,10,0.999999,0.9999985,1.4604277e-05,True,False
